,company_name,keyn,ceo,founded,size,revenue,industry
44,SEEML,165,-1,-1,less than 10,less than $1M (USD),-1
45,Tesla,166,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
46,"City of Columbia, MO",167,-1,-1,-1,-1,-1
47,JLL,168,Christian Ulbrich,1985,"more than 10,000",more than $10B (USD),Real Estate
48,"Page Southerland Page, Inc.",169,-1,1898,201 to 500,$100M to $500M (USD),Architectural & Engineering Services
49,Exponent,170,-1,1967,"501 to 1,000",$100M to $500M (USD),Telecommunications
50,University of Washington,171,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
51,"Partner Energy, Inc.",172,-1,-1,-1,-1,-1
52,"SI Group, Inc.",173,-1,-1,-1,-1,-1
53,Live Nation,174,-1,-1,-1,-1,-1
54,Red Bull,175,Dietrich Mateschitz,1987,"more than 10,000",$1B to $5B (USD),Manufacturing
55,Nu Skin,176,-1,-1,-1,-1,Retail & Wholesale
56,Concurrent Technologies Corporation,177,-1,-1,-1,-1,-1
57,AECOM,178,-1,-1,-1,-1,-1
58,BuroHappold Engineering,179,Neil Squibbs,1976,"1001 to 5,000",$100M to $500M (USD),Construction & Facilities Services
59,HGA,180,-1,-1,"501 to 1,000",$100M to $500M (USD),Construction & Facilities Services
60,Ads4Earth,181,-1,-1,-1,-1,Information Technology
61,Gensler,182,-1,1965,"1001 to 5,000",$100M to $500M (USD),"Arts, Entertainment & Recreation"
62,Fortinet,183,Ken Xie,2000,"1001 to 5,000",$1B to $5B (USD),Information Technology
63,Water Resources Department,184,-1,-1,"5,001 to 10,000",-1,-1
64,Hamer Environmental,185,-1,-1,-1,-1,-1
65,Eiger Marketing,186,-1,-1,-1,-1,-1
66,The Coca-Cola Company,187,James Quincey,1886,"more than 10,000",more than $10B (USD),Manufacturing
67,Museum of Discovery and Science,188,-1,-1,51 to 200,$5M to $25M (USD),-1
68,State of Tennessee,189,-1,-1,"more than 10,000",$1M to $5M (USD),Government & Public Administration
69,Cambridge Associates LLC,190,-1,1973,"501 to 1,000",$100M to $500M (USD),Consulting and Business Services
70,REI,191,Eric Artz,1938,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
71,Rinker Design Associates,192,-1,-1,-1,-1,-1
72,Steelcase,193,Jim Keane,1912,"more than 10,000",$1B to $5B (USD),Shipping & Trucking
73,APCO Worldwide,194,-1,1984,"501 to 1,000",$25M to $100M (USD),Media & Communication
74,City of Lafayette,195,Lafayette City Council 2020,-1,201 to 500,-1,Government & Public Administration
75,KPMG,196,Bill Thomas,1987,"more than 10,000",$1B to $5B (USD),Management & Consulting
76,Ads4Earth,197,-1,-1,-1,-1,Information Technology
77,Gensler,198,-1,1965,"1001 to 5,000",$100M to $500M (USD),"Arts, Entertainment & Recreation"
78,"Eastern Research Group, Inc.",199,-1,-1,-1,-1,-1
79,City of Lafayette,200,Lafayette City Council 2020,-1,201 to 500,-1,Government & Public Administration
