,company_name,keyn,ceo,founded,size,revenue,industry
0,Microsoft,121,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
1,Michigan Technological University,122,-1,1885,"1001 to 5,000",$100M to $500M (USD),Education
2,Purdue University,123,-1,1869,"more than 10,000",$1B to $5B (USD),Education
3,"Eastern Research Group, Inc.",124,-1,-1,-1,-1,-1
4,Nu Skin,125,-1,-1,-1,-1,Retail & Wholesale
5,BuroHappold Engineering,126,Neil Squibbs,1976,"1001 to 5,000",$100M to $500M (USD),Construction & Facilities Services
6,Apple,127,Tim Cook,1976,"more than 10,000",more than $10B (USD),Manufacturing
7,"The Cadmus Group, Inc.",128,-1,-1,-1,-1,-1
8,Sound Agriculture,129,-1,-1,-1,-1,Crop Production
9,RPS Group,130,John Douglas,1970,"5,001 to 10,000",$500M to $1B (USD),Construction & Facilities Services
10,National Sustainable Agriculture Coalition,131,-1,-1,-1,-1,-1
11,University of MO-Columbia,132,-1,-1,-1,-1,-1
12,L'Oreal,133,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
13,AECOM,134,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
14,Goby Inc,135,-1,-1,-1,-1,-1
15,State of South Carolina,136,Henry McMaster,1788,"more than 10,000",-1,Government & Public Administration
16,Aspiration Partners,137,-1,-1,-1,-1,-1
17,The Building People,138,Lawrence Melton - ,2012,201 to 500,$25M to $100M (USD),Government & Public Administration
18,Conde Nast,139,-1,1909,"1001 to 5,000",-1,Media & Communication
19,University of California - Irvine,140,-1,1965,"more than 10,000",$1B to $5B (USD),Education
20,GSK,141,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
21,Levi Strauss & Co.,142,-1,1853,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
22,SC Distributors,143,-1,-1,51 to 200,-1,-1
23,HGA,144,-1,-1,"501 to 1,000",$100M to $500M (USD),Construction & Facilities Services
24,PPG Industries,145,Michael H. McGarry,1883,"more than 10,000",more than $10B (USD),Manufacturing
25,H&M,146,Helena Helmersson,1947,"more than 10,000",more than $10B (USD),Retail & Wholesale
26,Verdani Partners,147,Daniele Horton,-1,11 to 50,$1M to $5M (USD),Management & Consulting
27,City of Maitland,148,-1,-1,"501 to 1,000",-1,Government & Public Administration
28,Mars,149,Grant F. Reid,1911,"more than 10,000",more than $10B (USD),Manufacturing
29,State of Tennessee,150,-1,-1,"more than 10,000",$1M to $5M (USD),Government & Public Administration
30,AmeriCorps,151,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
31,FIGS,152,-1,2013,51 to 200,-1,Retail & Wholesale
32,Accenture,153,Julie Sweet,1989,"more than 10,000",more than $10B (USD),Information Technology
33,AECOM,154,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
34,SCS Global Services,155,-1,1984,51 to 200,-1,-1
35,Allstate,156,Thomas J. Wilson II,1931,"more than 10,000",more than $10B (USD),Insurance
36,"Berry Global, inc",157,Tom Salmon,1967,"more than 10,000",more than $10B (USD),Manufacturing
37,World Wildlife Fund,158,Carter Roberts,1990,201 to 500,$100M to $500M (USD),Nonprofit & NGO
38,AmeriCorps,159,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
39,Bluefield Research,160,-1,-1,11 to 50,-1,-1
40,FIS Global,161,Gary Norcross,-1,"more than 10,000",$5B to $10B (USD),Financial Services
41,"Spirit Environmental, LLC",162,-1,-1,-1,-1,-1
42,Charlotte's Web,163,-1,-1,-1,-1,-1
43,Tetra Tech,164,Dan L. Batrack,1966,"more than 10,000",$1B to $5B (USD),Architectural & Engineering Services
