,company_name,keyn,ceo,founded,size,revenue,industry
0,Tommy Bahama,353,佐々木貞夫,2012,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
1,Rocky Mountain Institute,354,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
2,Truluck's,355,-1,1991,201 to 500,$1M to $5M (USD),Restaurants & Food Service
3,ONX,356,-1,2009,11 to 50,$1M to $5M (USD),Software Development
4,Cooper Carry,357,-1,-1,-1,-1,-1
5,"Amy's Kitchen, Inc.",358,-1,1988,"501 to 1,000",$100M to $500M (USD),Manufacturing
6,State of Washington Dept. of Commerce,359,-1,-1,-1,-1,-1
7,Filoli Historic House and Garden,360,-1,-1,-1,-1,-1
8,BRS,361,-1,-1,-1,-1,-1
9,TRIUMPH CSR ACQUISITION LLC,362,-1,-1,-1,-1,Education
10,SLR Consulting,363,-1,-1,-1,-1,-1
11,Google,364,Sundar Pichai,1998,"more than 10,000",more than $10B (USD),Information Technology
12,Sensata Technologies,365,"Jeff Cote, Chief Executive Officer & President",-1,"more than 10,000",$1B to $5B (USD),Manufacturing
13,WestRock,366,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
14,Peraton,367,Stu Shea,2017,"more than 10,000",$5B to $10B (USD),Aerospace & Defense
15,"Aqua America, Inc.",368,-1,1968,"1001 to 5,000",$500M to $1B (USD),"Energy, Mining & Utilities"
16,Thornton Tomasetti.,369,-1,-1,-1,-1,Consulting and Business Services
17,Barclays,370,-1,1690,"more than 10,000",more than $10B (USD),Financial Services
18,Fisker Inc,371,-1,-1,-1,-1,-1
19,Benson Hill,372,-1,-1,-1,-1,-1
20,Vista Outdoor,373,-1,2015,-1,-1,Manufacturing
21,"The Cadmus Group, Inc.",374,-1,-1,-1,-1,-1
22,AECOM,375,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
23,Argonne National Laboratory,376,-1,1946,less than 10,less than $1M (USD),Construction & Facilities Services
24,LIVEKINDLY,377,-1,-1,-1,-1,Advertising & Public Relations
25,The Hershey Company,378,-1,1894,"more than 10,000",$5B to $10B (USD),Retail & Wholesale
26,US Federal Highway Administration,379,-1,-1,-1,-1,-1
27,Invenergy,380,-1,2001,51 to 200,$25M to $100M (USD),"Energy, Mining & Utilities"
28,PayPal,381,Dan Schulman,1998,"more than 10,000",more than $10B (USD),Financial Services
