,company_name,keyn,ceo,founded,size,revenue,industry
29,Lion Electric,382,-1,-1,51 to 200,-1,Construction & Facilities Services
30,Johns Hopkins University,383,Ronald J. Daniels,1876,"more than 10,000",$1B to $5B (USD),Education
31,Kroger General Office,384,Rodney McMullen,-1,"more than 10,000",more than $10B (USD),Retail & Wholesale
32,Thrivent,385,Teresa (Terry) Rasmussen,1902,"5,001 to 10,000",$5B to $10B (USD),Insurance
33,Weeks Marine Inc.,386,-1,1934,"1001 to 5,000",$500M to $1B (USD),-1
34,Weston Foods,387,Luc Mongeau,1882,"5,001 to 10,000",$1B to $5B (USD),Retail & Wholesale
35,DCR- Water Supply & Protection,388,-1,-1,-1,-1,-1
36,World Wildlife Fund,389,Carter Roberts,1990,201 to 500,$100M to $500M (USD),Nonprofit & NGO
37,The Coca-Cola Company,390,James Quincey,1886,"more than 10,000",more than $10B (USD),Manufacturing
38,Benson Hill,391,-1,-1,-1,-1,-1
39,Vista Outdoor,392,-1,2015,-1,-1,Manufacturing
40,"The Cadmus Group, Inc.",393,-1,-1,-1,-1,-1
41,AECOM,394,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
42,Lufkin Industries,395,-1,-1,-1,-1,-1
43,The Port Authority of New York and New Jersey,396,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
44,Beyond Campus Innovations,397,-1,-1,less than 10,less than $1M (USD),Education
45,WestRock,398,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
46,Alcoa Corporation,399,-1,1888,"more than 10,000",more than $10B (USD),Manufacturing
47,"Rincon Consultants, Inc",400,John Dreher,1994,201 to 500,$25M to $100M (USD),Consulting and Business Services
48,ILIA Beauty,401,-1,-1,-1,-1,Beauty & Personal Accessories Stores
49,TRC Companies Inc,402,Christopher P. Vincze,1969,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
50,The Wonderful Company LLC,403,Stewart Resnick,1980,"5,001 to 10,000",$1B to $5B (USD),"Construction, Repair & Facilities Services"
51,Getinge,404,-1,-1,-1,-1,-1
52,GreenCitizen,405,-1,-1,-1,-1,Transportation & Logistics
53,Barclays,406,-1,1690,"more than 10,000",more than $10B (USD),Banks and Financial Services
54,Summersalt,407,-1,-1,-1,-1,-1
55,Microsoft,408,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
56,New Avenue,409,-1,-1,less than 10,less than $1M (USD),-1
57,Starbucks,410,Kevin Johnson,1971,"more than 10,000",more than $10B (USD),Restaurants & Food Service
58,Gartner,411,Gene Hall,1979,"more than 10,000",$1B to $5B (USD),Agriculture
59,EBP US,412,-1,-1,-1,-1,-1
60,"CASCADIA CONSULTING GROUP, INC",413,-1,-1,11 to 50,$5M to $25M (USD),-1
61,The Rock Creek Group,414,-1,-1,11 to 50,$5M to $25M (USD),-1
62,BD,415,Tom Polen ,1897,"more than 10,000",more than $10B (USD),Healthcare
63,FIBERTEC ENVIRONMENTAL SERVICES,416,-1,-1,-1,-1,Biotechnology
64,TC Transcontinental,417,FRANÇOIS OLIVIER,-1,"1001 to 5,000",$100M to $500M (USD),Manufacturing
65,"Meridian Consulting, LLC",418,-1,-1,-1,-1,-1
66,Eckberg Lammers,419,-1,-1,11 to 50,$1M to $5M (USD),-1
67,3M,420,Mike Roman,1902,"more than 10,000",more than $10B (USD),Manufacturing
68,University of Alabama at Birmingham,421,-1,-1,"more than 10,000",$1B to $5B (USD),Education
69,WestRock Devens,422,-1,-1,-1,-1,Wood & Paper Manufacturing
70,WestRock,423,-1,-1,-1,-1,-1
71,LANXESS,424,Matthias Zachert,2004,"more than 10,000",$5B to $10B (USD),Manufacturing
72,Lime,425,-1,-1,11 to 50,-1,Information Technology
73,ERM Group,426,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
74,"WeDriveU, Inc.",427,Dennis Carlson,1988,"1001 to 5,000",-1,Transportation & Logistics
75,Miller Coors,428,Gavin Hattersley,1774,"more than 10,000",$1B to $5B (USD),Manufacturing
76,Altura Associates,429,-1,-1,-1,-1,-1
77,Sealed Air Corporation,430,-1,1960,"more than 10,000",$1B to $5B (USD),Manufacturing
78,The Rector & Visitors of the University of Virgini...,431,-1,-1,-1,-1,-1
79,JM Huber Corporation,432,-1,-1,-1,-1,Manufacturing
80,ICF,433,John Wasson,1969,"5,001 to 10,000",$1B to $5B (USD),Management & Consulting
81,Indigo,434,Mr Serge CLEMENTE,-1,"1001 to 5,000",-1,Bars & Nightclubs
82,PepsiCo,435,Ramon Laguarta,1965,"more than 10,000",more than $10B (USD),Manufacturing
83,BOEING,436,David Calhoun,1916,"more than 10,000",more than $10B (USD),Aerospace & Defense
84,"Blackberry Farm, LLC",437,-1,2021,less than 10,less than $1M (USD),"Restaurants, Travel and Leisure"
85,Convent of the Sacred Heart,438,-1,1881,51 to 200,$5M to $25M (USD),-1
86,Caesars Entertainment,439,Tom Reeg,-1,"more than 10,000",$5B to $10B (USD),Restaurants & Food Service
87,New Leaf Community Markets,440,Wendy Collie,1985,"1001 to 5,000",$25M to $100M (USD),Retail & Wholesale
88,WestRock,441,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
89,The Wonderful Company LLC,442,Stewart Resnick,1980,"5,001 to 10,000",$1B to $5B (USD),"Construction, Repair & Facilities Services"
90,Harris Computer Systems,443,Jeff Bender,1976,"1001 to 5,000",$500M to $1B (USD),Information Technology
91,Wood Plc,444,Robin Watson,-1,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
92,Molina Healthcare,445,Joseph M. Zubretsky,1980,"more than 10,000",more than $10B (USD),Insurance
93,ERM Group,446,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
94,Autodesk,447,Andrew Anagnost,1982,"5,001 to 10,000",$1B to $5B (USD),Information Technology
95,"ENTACT, LLC",448,-1,-1,201 to 500,-1,Construction & Facilities Services
96,Hart-to-Hart Farm & Education Center,449,-1,-1,-1,-1,-1
97,Plastipak Packaging Inc.,450,-1,1967,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
98,Insight Pest Solutions,451,-1,2011,51 to 200,$5M to $25M (USD),"Construction, Repair & Facilities Services"
99,3M,452,Mike Roman,1902,"more than 10,000",more than $10B (USD),Manufacturing
100,"Meridian Consulting, LLC",453,-1,-1,-1,-1,-1
101,"Land O’Lakes, Inc.",454,-1,-1,-1,-1,-1
102,"Midlab, Inc.",455,-1,-1,51 to 200,$25M to $100M (USD),-1
103,"Satco, Inc.",456,-1,-1,-1,-1,Banking & Lending
104,"Montrose Environmental Group, Inc.",457,-1,2012,"501 to 1,000",$5M to $25M (USD),Architectural & Engineering Services
105,Grant Thornton,458,-1,1904,"5,001 to 10,000",$1B to $5B (USD),Accounting & Tax
106,Sodexo,459,Denis Machuel,1966,"more than 10,000",$100M to $500M (USD),Restaurants & Food Service
107,Beyond Meat,460,-1,2009,less than 10,$1M to $5M (USD),Catering & Food Service Contractors
108,"PERIMETER SOLUTIONS, LP",461,-1,-1,-1,-1,-1
109,Wyndham Destinations,462,Michael D. Brown,-1,"more than 10,000",$1B to $5B (USD),Hotels & Travel Accommodation
110,Underwriters Laboratories Inc.,463,Jennifer Scanlon,1894,"more than 10,000",$1B to $5B (USD),Security & Protective
111,Burns & McDonnell,464,-1,1898,"5,001 to 10,000",$1B to $5B (USD),Construction & Facilities Services
112,New Jersey Institute of Technology,465,-1,1881,"1001 to 5,000",$100M to $500M (USD),Education
113,City of Ventura,466,-1,-1,"1001 to 5,000",-1,Government & Public Administration
114,Mott MacDonald,467,-1,1989,"more than 10,000",$1B to $5B (USD),Consulting and Business Services
115,Diocese of Saginaw,468,-1,-1,-1,-1,-1
116,Rivian Automotive,469,-1,2009,-1,-1,Vehicle Manufacturing
117,"City of Oceanside, CA",470,-1,-1,-1,-1,Government & Public Administration
118,Chipotle,471,Brian Niccol,1993,"more than 10,000",$1B to $5B (USD),Restaurants & Food Service
119,Microsoft,472,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
120,stok,473,-1,2008,11 to 50,less than $1M (USD),Real Estate
121,Rocky Mountain Institute,474,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
122,Grand Teton Lodge Company,475,Rob Katz,1962,"more than 10,000",$1B to $5B (USD),Hotels & Travel Accommodation
123,City of Ann Arbor,476,-1,-1,-1,-1,Government & Public Administration
124,Oregon Health & Science University,477,-1,1887,"more than 10,000",$1B to $5B (USD),Education
125,HealthPartners,478,Andrea Walsh,1984,"more than 10,000",$1B to $5B (USD),Healthcare
126,Bill & Melinda Gates Foundation,479,-1,1997,"1001 to 5,000",less than $1M (USD),Healthcare
127,ESC Polytech Consultants,480,-1,-1,-1,-1,-1
128,Oneida ESC Group,481,-1,-1,-1,-1,-1
129,World Resources Institute,482,-1,1982,51 to 200,$25M to $100M (USD),Nonprofit & NGO
130,WSP USA,483,Alexandre L’Heureux,1959,"5,001 to 10,000",$1B to $5B (USD),Architectural & Engineering Services
131,Government of the District of Columbia,484,-1,-1,"5,001 to 10,000",$100M to $500M (USD),Government & Public Administration
132,Advocate Aurora Health,485,Nick Turkal | Jim Skogsbergh,2018,"more than 10,000",more than $10B (USD),Healthcare
133,ICF,486,John Wasson,1969,"5,001 to 10,000",$1B to $5B (USD),Management & Consulting
134,The Coffee Bean & Tea Leaf,487,-1,1963,"1001 to 5,000",$100M to $500M (USD),Restaurants & Food Service
135,Columbia University,488,-1,1938,"more than 10,000",$1B to $5B (USD),Education
136,Golden State Foods,489,-1,1947,"1001 to 5,000",$100M to $500M (USD),Manufacturing
137,Public Health Advocates,490,-1,-1,-1,-1,-1
138,H&M,491,Helena Helmersson,1947,"more than 10,000",more than $10B (USD),Retail & Wholesale
139,Stryker Corporation,492,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
140,State of Missouri,493,Governor Mike Parson,-1,"1001 to 5,000",-1,Government & Public Administration
141,University of California - Irvine,494,-1,1965,"more than 10,000",$1B to $5B (USD),Education
142,AmeriCorps,495,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
143,Stryker Corporation,496,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
144,David Energy,497,-1,-1,-1,-1,-1
145,Rinker Design Associates,498,-1,-1,-1,-1,-1
146,Council of the Great Lakes Region,499,-1,-1,-1,-1,-1
147,CVS Health,500,"Karen S. Lynch, President & ",1963,"more than 10,000",more than $10B (USD),Healthcare
148,Neiman Marcus,501,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
149,Rinker Design Associates,502,-1,-1,-1,-1,-1
150,Council of the Great Lakes Region,503,-1,-1,-1,-1,-1
151,CVS Health,504,"Karen S. Lynch, President & ",1963,"more than 10,000",more than $10B (USD),Healthcare
152,Neiman Marcus,505,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
153,Neiman Marcus,506,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
154,City of Peoria,507,-1,-1,less than 10,-1,Government & Public Administration
155,World Bank Group,508,-1,1945,"1001 to 5,000",-1,Financial Services
156,Kraft Heinz Company,509,Miguel Patricio,2015,"more than 10,000",more than $10B (USD),Manufacturing
157,"Alteryx, Inc.",510,Mark Anderson,2010,"1001 to 5,000",$100M to $500M (USD),Information Technology
158,Amazon.com Services LLC,511,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
159,Clean Power Alliance,512,-1,-1,-1,-1,"Energy, Mining & Utilities"
160,Batory Foods,513,-1,-1,201 to 500,-1,Food & Beverage Manufacturing
161,University of Wisconsin - Oshkosh,514,-1,1871,11 to 50,$1M to $5M (USD),Education
162,Tiffany & Co.,515,Anthony Ledru,1837,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
163,Tiffany & Co.,516,Anthony Ledru,1837,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
164,University of Washington,517,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
165,Toshiba International Corporation,518,-1,1939,"more than 10,000",more than $10B (USD),Electronics Manufacturing
166,Mars,519,Grant F. Reid,1911,"more than 10,000",more than $10B (USD),Manufacturing
167,"POWER Engineers, Inc.",520,-1,1976,"1001 to 5,000",$500M to $1B (USD),"Energy, Mining & Utilities"
168,Tighe & Bond,521,-1,-1,201 to 500,$25M to $100M (USD),Architectural & Engineering Services
169,PUMA,522,Björn Gulden,1948,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
170,"Blackberry Farm, LLC",523,-1,2021,less than 10,less than $1M (USD),"Restaurants, Travel and Leisure"
171,NextEra Energy,524,James L. Robo,1925,"more than 10,000",$1B to $5B (USD),"Energy, Mining & Utilities"
172,Abbvie,525,Richard A. Gonzalez,2013,"more than 10,000",more than $10B (USD),Pharmaceutical & Biotechnology
173,UnitedHealth Group,526,-1,-1,-1,-1,-1
174,Association of Independents in Radio (AIR),527,-1,-1,-1,-1,Civic & Social Services
175,DiaSorin,528,Carlo Rosa,1968,"1001 to 5,000",-1,Healthcare
176,Aerion Corporation,529,-1,2002,11 to 50,less than $1M (USD),Aerospace & Defense
177,Occidental Petroleum Corporation,530,-1,1920,"more than 10,000",more than $10B (USD),-1
178,Forestry Department,531,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
179,Occidental Petroleum Corporation,532,-1,1920,"more than 10,000",more than $10B (USD),-1
180,Forestry Department,533,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
181,Apple,534,Tim Cook,1976,"more than 10,000",more than $10B (USD),Manufacturing
182,Amazon.com Services LLC,535,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
183,KBR,536,-1,1901,"more than 10,000",$5B to $10B (USD),Aerospace & Defense
184,"Disney Parks, Experiences and Products",537,-1,1901,"more than 10,000",$1B to $5B (USD),Hotels & Travel Accommodation
185,"Beacon Economics, LLC",538,-1,-1,11 to 50,less than $1M (USD),Management & Consulting
186,AECOM,539,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
187,City of Sunrise,540,-1,1961,"1001 to 5,000",-1,Government & Public Administration
188,Argonne National Laboratory,541,-1,1946,less than 10,less than $1M (USD),Construction & Facilities Services
189,Resource Environmental Solutions LLC,542,Darrell Whitley,-1,"501 to 1,000",-1,Construction & Facilities Services
190,"Counterpart International, Inc.",543,-1,-1,-1,-1,-1
191,Vulcan Inc.,544,-1,1986,201 to 500,$25M to $100M (USD),Manufacturing
192,Rare,545,-1,1984,11 to 50,$5M to $25M (USD),Nonprofit & NGO
193,Northeastern University,546,-1,-1,-1,-1,-1
194,MetLife,547,Steven A. Kandarian,1868,"more than 10,000",more than $10B (USD),Insurance
195,BayCare,548,Tommy Inzina,1997,"more than 10,000",$100M to $500M (USD),Healthcare
196,Edelman,549,-1,-1,less than 10,$100M to $500M (USD),Wholesale
197,Jacob Burns Film Center,550,-1,2001,11 to 50,$5M to $25M (USD),Culture & Entertainment
198,Taco Bell,551,Mark King,1962,"more than 10,000",more than $10B (USD),Restaurants & Food Service
199,Gensler,552,-1,1965,"1001 to 5,000",$100M to $500M (USD),"Arts, Entertainment & Recreation"
200,Gloria Ferrer,553,-1,1986,51 to 200,-1,-1
201,AECOM,554,Michael S. Burke,2011,"more than 10,000",more than $10B (USD),Construction & Facilities Services
202,Cleantech Group,555,-1,-1,-1,-1,-1
203,WestRock,556,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
204,US Surface Transportation Board,557,-1,-1,-1,-1,-1
205,New Mexico State University,558,-1,1888,"1001 to 5,000",$100M to $500M (USD),Education
206,Enervee,559,-1,2010,11 to 50,$1M to $5M (USD),-1
207,Essilor,560,-1,-1,-1,-1,-1
208,State of Georgia,561,-1,-1,"1001 to 5,000",-1,Government & Public Administration
209,River Valley Market Llc,562,-1,-1,-1,-1,-1
210,Stryker Corporation,563,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
211,TRIUMPH CSR ACQUISITION LLC,564,-1,-1,-1,-1,Education
212,Tesla,565,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
213,Goodfair,566,-1,-1,-1,-1,-1
214,The Scotts Miracle-Gro Company,567,Jim Hagedorn,1868,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
215,Tommy Bahama,568,佐々木貞夫,2012,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
216,Rocky Mountain Institute,569,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
217,Truluck's,570,-1,1991,201 to 500,$1M to $5M (USD),Restaurants & Food Service
218,ONX,571,-1,2009,11 to 50,$1M to $5M (USD),Software Development
219,Charitable Ventures,572,-1,-1,-1,-1,Civic & Social Services
220,"Land O’Lakes, Inc.",573,-1,-1,-1,-1,-1
221,CR&R Inc,574,-1,-1,"1001 to 5,000",$100M to $500M (USD),"Energy, Mining & Utilities"
222,Sea Bags,575,-1,-1,-1,-1,Retail & Wholesale
223,Sims Metal Management,576,-1,1917,"5,001 to 10,000",$5B to $10B (USD),Metal & Mineral Manufacturing
224,Siegwerk,577,-1,1824,-1,-1,Chemical Manufacturing
225,3M,578,Mike Roman,1902,"more than 10,000",more than $10B (USD),Manufacturing
226,NBCUniversal,579,Steve Burke,1989,"more than 10,000",$5M to $25M (USD),Media & Communication
227,"Marriott International, Inc",580,Tony Capuano ,1980,"more than 10,000",more than $10B (USD),Hotels & Travel Accommodation
228,Forestry Department,581,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
229,Exponent,582,-1,1967,"501 to 1,000",$100M to $500M (USD),Telecommunications
230,The Coca-Cola Company,583,James Quincey,1886,"more than 10,000",more than $10B (USD),Manufacturing
231,Stryker Corporation,584,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
232,General Motors,585,Mary T. Barra,1908,"more than 10,000",more than $10B (USD),Automotive
233,Umatilla County,586,-1,-1,-1,-1,-1
234,University of Washington,587,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
235,World Resources Institute,588,-1,1982,51 to 200,$25M to $100M (USD),Nonprofit & NGO
236,Ericsson,589,Börje Ekholm,1992,"more than 10,000",-1,Telecommunications
237,Facebook,590,Mark Zuckerberg,2004,"more than 10,000",more than $10B (USD),Information Technology
238,SC Johnson,591,H. Fisk Johnson,1886,"more than 10,000",$5B to $10B (USD),Manufacturing
239,"City of Hampton, VA",592,-1,-1,"1001 to 5,000",-1,Government & Public Administration
240,Penn State University,593,Eric J. Barron,1855,"more than 10,000",$5B to $10B (USD),Education
241,Burlington Public Schools,594,-1,-1,201 to 500,-1,Education
242,Rivian Automotive,595,-1,2009,-1,-1,Vehicle Manufacturing
243,"Sheladia Associates, Inc.",596,-1,-1,-1,-1,-1
244,"Diversey, Inc.",597,Phil Wieland,-1,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
245,ORAU,598,-1,-1,"501 to 1,000",-1,Nonprofit & NGO
246,Stanford University,599,Marc Tessier-Lavigne,1891,"more than 10,000",-1,Education
247,Goby Inc,600,-1,-1,-1,-1,-1
248,Denver Museum of Nature & Science,601,-1,-1,201 to 500,-1,Nonprofit & NGO
249,Trimble,602,-1,1979,51 to 200,$25M to $100M (USD),Telecommunications
250,Apple,603,Tim Cook,1976,"more than 10,000",more than $10B (USD),Manufacturing
251,WestRock,604,Steve Voorhees,2015,"more than 10,000",more than $10B (USD),Manufacturing
252,Neiman Marcus,605,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
253,WestRock,606,-1,-1,-1,-1,-1
254,LG Vehicle Components,607,-1,-1,-1,-1,-1
255,University of Washington,608,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
256,"McCain Foods USA, Inc.",609,-1,1957,"more than 10,000",$5B to $10B (USD),Manufacturing
257,Southwire,610,Rich Stinson,1950,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
258,Steelcase,611,Jim Keane,1912,"more than 10,000",$1B to $5B (USD),Shipping & Trucking
259,PPG Industries,612,Michael H. McGarry,1883,"more than 10,000",more than $10B (USD),Manufacturing
260,Anheuser-Busch,613,Carlos Brito,1852,"more than 10,000",more than $10B (USD),Retail & Wholesale
261,Sound Agriculture,614,-1,-1,-1,-1,Crop Production
262,Kings Dominion,615,Richard Zimmerman,1975,"1001 to 5,000",$1M to $5M (USD),Event Services
263,University of Washington,616,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
264,City of Tucson,617,-1,1877,"5,001 to 10,000",-1,Government & Public Administration
265,National Renewable Energy Laboratory,618,-1,1978,"1001 to 5,000",-1,Government & Public Administration
266,Salesforce,619,Marc Benioff,1999,"more than 10,000",more than $10B (USD),Information Technology
267,Nouryon,620,-1,-1,"5,001 to 10,000",$5B to $10B (USD),Manufacturing
268,Honeywell,621,Darius Adamczyk,1885,"more than 10,000",more than $10B (USD),Manufacturing
269,GreenPrint,622,-1,-1,-1,-1,-1
270,Cummins Inc.,623,Tom Linebarger,1919,"more than 10,000",more than $10B (USD),Manufacturing
271,Humana,624,Humana  Bruce Broussard,1961,"more than 10,000",more than $10B (USD),Healthcare
272,Kent State University,625,-1,1910,"5,001 to 10,000",$100M to $500M (USD),Education
273,FMC Corporation,626,-1,1883,"1001 to 5,000",$1B to $5B (USD),"Energy, Mining & Utilities and manufacturing"
274,Neiman Marcus,627,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
275,Getinge,628,-1,-1,"more than 10,000",$1B to $5B (USD),Healthcare
276,National Renewable Energy Laboratory,629,-1,1978,"1001 to 5,000",-1,Government & Public Administration
277,New York Power Authority,630,-1,1931,"1001 to 5,000",$1B to $5B (USD),"Energy, Mining & Utilities"
278,Agri Beef Co.,631,-1,1968,"501 to 1,000",$100M to $500M (USD),Agriculture
279,Fanatics Inc.,632,Doug Mack,1996,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
280,Central Coast Agriculture,633,-1,-1,-1,-1,Agriculture
281,Beyond Meat,634,-1,2009,less than 10,$1M to $5M (USD),Catering & Food Service Contractors
282,Symetra,635,Margaret. Meister - President and Chief Executive ,2004,"1001 to 5,000",$1B to $5B (USD),Insurance
283,Smithfield Foods,636,Dennis Organ,1936,"more than 10,000",more than $10B (USD),Manufacturing
284,Hines,637,-1,-1,-1,-1,-1
285,Symetra,638,Margaret. Meister - President and Chief Executive ,2004,"1001 to 5,000",$1B to $5B (USD),Insurance
286,Sack Properties,639,-1,-1,11 to 50,-1,Property Management
287,Rhythm,640,-1,-1,11 to 50,$5M to $25M (USD),Information Technology
