,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
565,211,TRIUMPH CSR ACQUISITION LLC,-1,-1,-1,-1,Education
566,212,Tesla,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
567,213,Goodfair,-1,-1,-1,-1,-1
568,214,The Scotts Miracle-Gro Company,Jim Hagedorn,1868,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
569,215,Tommy Bahama,佐々木貞夫,2012,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
570,216,Rocky Mountain Institute,-1,-1,51 to 200,$25M to $100M (USD),Nonprofit & NGO
571,217,Truluck's,-1,1991,201 to 500,$1M to $5M (USD),Restaurants & Food Service
572,218,ONX,-1,2009,11 to 50,$1M to $5M (USD),Software Development
573,219,Charitable Ventures,-1,-1,-1,-1,Civic & Social Services
574,220,"Land O’Lakes, Inc.",-1,-1,-1,-1,-1
575,221,CR&R Inc,-1,-1,"1001 to 5,000",$100M to $500M (USD),"Energy, Mining & Utilities"
576,222,Sea Bags,-1,-1,-1,-1,Retail & Wholesale
577,223,Sims Metal Management,-1,1917,"5,001 to 10,000",$5B to $10B (USD),Metal & Mineral Manufacturing
578,224,Siegwerk,-1,1824,-1,-1,Chemical Manufacturing
579,225,3M,Mike Roman,1902,"more than 10,000",more than $10B (USD),Manufacturing
580,226,NBCUniversal,Steve Burke,1989,"more than 10,000",$5M to $25M (USD),Media & Communication
581,227,"Marriott International, Inc",Tony Capuano ,1980,"more than 10,000",more than $10B (USD),Hotels & Travel Accommodation
582,228,Forestry Department,-1,-1,-1,-1,"Forestry, Logging & Timber Operations"
583,229,Exponent,-1,1967,"501 to 1,000",$100M to $500M (USD),Telecommunications
584,230,The Coca-Cola Company,James Quincey,1886,"more than 10,000",more than $10B (USD),Manufacturing
585,231,Stryker Corporation,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
586,232,General Motors,Mary T. Barra,1908,"more than 10,000",more than $10B (USD),Automotive
587,233,Umatilla County,-1,-1,-1,-1,-1
