,company_name,keyn,ceo,founded,size,revenue,industry
0,EME Consulting Engineering Group,34,-1,-1,-1,-1,-1
1,The Port Authority of New York and New Jersey,35,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
2,Indian Nations Council of Governments (INCOG),36,-1,-1,-1,-1,-1
3,Universal Leaf Tobacco Co. Inc.,37,-1,-1,-1,-1,-1
4,Los Angeles Pacific University,38,"John C. Reynolds, Ph.D.",2010,201 to 500,-1,Education
5,"Studio School - Los Angeles, CA",39,-1,-1,-1,-1,-1
6,American Electric Power,40,-1,1906,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
7,BD,41,Tom Polen ,1897,"more than 10,000",more than $10B (USD),Healthcare
8,Microsoft,42,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
9,World Wildlife Fund,43,Carter Roberts,1990,201 to 500,$100M to $500M (USD),Nonprofit & NGO
10,Institute for Sustainable Communities,44,-1,1991,11 to 50,$5M to $25M (USD),-1
11,The Boston Beer Company,45,Dave Burwick,1984,"1001 to 5,000",-1,Food & Beverage Manufacturing
12,Netflix,46,Reed Hastings,1997,"5,001 to 10,000",more than $10B (USD),Media & Communication
13,University of Michigan,47,Mark Schlissel,1817,"more than 10,000",$5B to $10B (USD),Education
14,Rockline Industries Inc,48,-1,1976,"1001 to 5,000",$100M to $500M (USD),Manufacturing
15,ERM Group,49,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
16,Epsten Group,50,-1,-1,-1,-1,-1
17,AmeriCorps,51,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
18,Miller Coors,52,Gavin Hattersley,1774,"more than 10,000",$1B to $5B (USD),Manufacturing
19,L'Oreal,53,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
20,Aerion Corporation,54,-1,2002,11 to 50,less than $1M (USD),Aerospace & Defense
21,Institutional Shareholder Services,55,-1,1985,201 to 500,$25M to $100M (USD),-1
22,Verdani Partners,56,Daniele Horton,-1,11 to 50,$1M to $5M (USD),Management & Consulting
23,Uponor,57,-1,-1,"1001 to 5,000",$1B to $5B (USD),Manufacturing
24,Missouri Botanical Garden,58,-1,1859,201 to 500,$25M to $100M (USD),-1
25,Strategic Energy Innovations,59,-1,-1,11 to 50,$1M to $5M (USD),Nonprofit & NGO
26,CR&R Inc,60,-1,-1,"1001 to 5,000",$100M to $500M (USD),"Energy, Mining & Utilities"
27,L'Oreal,61,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
28,CEMEX,62,-1,2002,"5,001 to 10,000",$1B to $5B (USD),Construction & Facilities Services
29,Textron Specialized Vehicles,63,-1,1921,"501 to 1,000",$100M to $500M (USD),Manufacturing
